ID;aemet_equipo_loc;aemet_lej;aemet_fecha;aemet_lugar;aemet_provincia;aemet_tmax;aemet_tmin;aemet_sol;aemet_presMax;aemet_presMin;aemet_prec;aemet_racha;aemet_dir;aemet_velmedia;aemet_tmax_vis;aemet_tmin_vis;aemet_sol_vis;aemet_presMax_vis;aemet_presMin_vis;aemet_prec_vis;aemet_racha_vis;aemet_dir_vis;aemet_velmedia_vis;
g_1_Mq44e2Ct;Malaga;0;2015-08-21;MÁLAGA, CENTRO METEOROLÓGICO;MALAGA;31.7;24.4;NaN;1014.3;1010.4;0.0;8.1;18;2.2;36.2;23.2;12.3;1015.4;1011.6;0.0;10.8;22;3.6;
g_1_4SZkxuCI;Rayo Vallecano;0;2015-08-22;MADRID, RETIRO;MADRID;31.7;17.4;NaN;942.7;934.1;0.0;11.7;24;2.5;29.6;22.1;7.8;1011.1;1003.3;0.0;10.8;11;4.4;
g_1_8MHHjvRB;Atl. Madrid;0;2015-08-22;MADRID, RETIRO;MADRID;31.7;17.4;NaN;942.7;934.1;0.0;11.7;24;2.5;28.6;22.9;11.3;1015.3;1012.7;0.0;18.6;01;11.4;
g_1_z9J9h0da;Deportivo de La Coruna;0;2015-08-22;A CORUÑA;A CORUÑA;23.3;16.2;3.4;1010.4;1004.5;5.8;13.1;26;3.3;21.4;16.6;1.0;987.1;978.7;44.3;16.7;25;2.2;
g_1_rJYgyaRO;Espanyol;0;2015-08-22;BARCELONA AEROPUERTO;BARCELONA;28.8;23.5;5.6;1018.0;1010.1;NA;8.3;31;2.2;31.7;17.4;NaN;942.7;934.1;0.0;11.7;24;2.5;
g_1_fc2Cgtsg;Real Betis;0;2015-08-23;SEVILLA AEROPUERTO;SEVILLA;31.1;18.7;10.1;1012.1;1009.1;0.0;13.9;22;5.3;34.3;21.2;12.4;1005.1;1000.1;0.0;11.1;24;3.1;
g_1_G638fMRn;Levante;0;2015-08-23;VALENCIA AEROPUERTO;VALENCIA;33.2;20.2;11.5;1003.3;999.2;0.0;16.1;99;6.7;18.6;13.3;0.9;984.3;978.2;11.5;16.4;19;6.9;
g_1_pOCx0r4P;Sporting de Gijon;0;2015-08-23;GIJÓN, PUERTO;ASTURIAS;23.7;14.8;NaN;1010.7;1001.3;0.0;NaN;NaN;NaN;26.0;18.0;NaN;936.3;933.8;0.1;13.1;24;3.9;
g_1_zgVowLdC;Athletic Club;1;2015-08-23;BILBAO AEROPUERTO;BIZKAIA;27.9;15.9;6.9;1006.8;997.7;0.1;17.5;99;1.9;29.3;22.8;8.6;1010.1;1005.1;0.0;12.5;99;5.6;
g_1_EaIDiKB5;Granada;0;2015-08-24;GRANADA AEROPUERTO;GRANADA;28.2;12.7;12.6;952.4;949.7;0.0;12.5;29;4.4;22.9;13.9;4.0;1014.4;1000.2;0.0;16.1;23;4.2;
g_1_fDjz9Ltt;Villarreal;0;2015-08-28;CASTELLÓN - ALMASSORA;CASTELLON;30.2;21.0;12.4;1014.4;1010.8;0.0;6.9;12;2.2;29.3;22.3;10.9;1019.4;1015.7;0.0;8.3;21;3.1;
g_1_MPsi5wt5;Real Madrid;0;2015-08-29;MADRID, RETIRO;MADRID;34.8;22.0;NaN;943.4;939.0;0.0;9.4;14;2.8;39.5;22.6;8.7;1011.2;1008.0;0.0;9.7;22;1.7;
g_1_ruAUmxBU;Celta de Vigo;0;2015-08-29;VIGO AEROPUERTO;PONTEVEDRA;27.9;17.2;7.0;987.0;983.9;NA;7.8;99;1.9;34.8;22.0;NaN;943.4;939.0;0.0;9.4;14;2.8;
g_1_Y3kv8udn;Barcelona;0;2015-08-29;BARCELONA AEROPUERTO;BARCELONA;29.4;22.7;11.4;1020.5;1018.3;0.0;6.7;99;3.9;30.5;24.6;NaN;1012.3;1009.4;0.0;8.6;14;2.5;
g_1_4lBQlIeO;Real Sociedad;0;2015-08-29;DONOSTIA/SAN SEBASTIÁN, IGUELDO;GIPUZKOA;33.0;17.9;8.7;987.0;984.3;0.0;12.2;19;3.6;22.7;18.8;NaN;1015.5;1009.9;0.0;NaN;NaN;NaN;
g_1_GSvq7aBh;Getafe;1;2015-08-30;MADRID, RETIRO;MADRID;34.8;21.5;NaN;941.9;936.7;2.3;20.8;16;2.5;37.0;18.7;7.3;952.2;949.9;0.0;12.5;16;1.7;
g_1_S2rm6JQb;Las Palmas;0;2015-08-30;GRAN CANARIA AEROPUERTO;LAS PALMAS;27.8;22.5;11.4;1013.2;1009.0;0.0;14.4;02;7.8;30.7;22.2;11.2;1012.3;1008.9;0.0;8.3;99;3.1;
g_1_MPLLkbtI;Sevilla;0;2015-08-30;SEVILLA AEROPUERTO;SEVILLA;37.7;23.9;8.4;1011.9;1007.7;0.3;8.9;18;2.8;34.8;21.5;NaN;941.9;936.7;2.3;20.8;16;2.5;
g_1_0Gte4ceB;Valencia;0;2015-08-30;VALENCIA AEROPUERTO;VALENCIA;30.7;22.2;11.2;1012.3;1008.9;0.0;8.3;99;3.1;24.3;18.3;6.3;1007.3;1004.2;0.4;8.3;28;1.9;
g_1_Iiy03HAH;Eibar;1;2015-08-30;BILBAO AEROPUERTO;BIZKAIA;34.5;19.8;7.3;1011.7;1004.4;2.0;21.1;24;0.6;34.5;19.8;7.3;1011.7;1004.4;2.0;21.1;24;0.6;
g_1_SQQZdFmo;Levante;0;2015-09-11;VALENCIA AEROPUERTO;VALENCIA;28.3;20.7;9.4;1008.4;1006.2;NA;11.7;09;3.1;31.0;18.3;12.2;1011.2;1007.7;0.0;8.9;24;3.1;
g_1_xGAxHzuH;Real Betis;0;2015-09-12;SEVILLA AEROPUERTO;SEVILLA;30.8;17.7;8.5;1011.7;1008.5;0.0;10.8;99;3.6;19.2;16.4;0.0;984.6;979.1;1.4;6.9;30;1.9;
g_1_tlHTIdA4;Atl. Madrid;0;2015-09-12;MADRID, RETIRO;MADRID;27.4;19.0;NaN;937.9;934.9;0.0;9.2;99;1.9;27.8;21.1;4.5;1016.0;1011.6;0.5;11.4;05;3.9;
g_1_8M3MKIuh;Sporting de Gijon;0;2015-09-12;GIJÓN, PUERTO;ASTURIAS;18.2;16.6;0.0;1013.7;1008.2;1.7;NaN;NaN;NaN;28.0;19.4;3.9;1008.3;1004.4;0.6;10.8;08;2.5;
g_1_WxAtGffN;Espanyol;0;2015-09-12;BARCELONA AEROPUERTO;BARCELONA;27.8;21.1;4.5;1016.0;1011.6;0.5;11.4;05;3.9;27.4;19.0;NaN;937.9;934.9;0.0;9.2;99;1.9;
g_1_2cIPJxeb;Malaga;0;2015-09-13;MÁLAGA, CENTRO METEOROLÓGICO;MALAGA;33.3;20.6;NaN;1008.7;1004.8;0.0;8.6;32;1.7;23.0;15.9;2.0;1005.2;1001.2;3.0;17.5;25;3.3;
g_1_OC6YHGPA;Celta de Vigo;0;2015-09-13;VIGO AEROPUERTO;PONTEVEDRA;19.3;12.1;0.3;985.3;978.7;27.5;11.4;99;4.7;27.5;22.1;10.7;1014.9;1010.9;0.0;9.7;03;4.2;
g_1_j5Z71euU;Athletic Club;1;2015-09-13;BILBAO AEROPUERTO;BIZKAIA;23.0;15.9;2.0;1005.2;1001.2;3.0;17.5;25;3.3;24.4;16.8;NaN;937.2;934.3;NA;13.6;23;3.6;
g_1_drz42yQN;Granada;0;2015-09-13;GRANADA AEROPUERTO;GRANADA;28.7;13.0;11.1;951.2;947.8;0.0;10.8;30;3.1;31.2;19.5;7.1;1007.1;1001.1;0.0;8.6;20;2.2;
g_1_UV4ILbQo;Rayo Vallecano;0;2015-09-14;MADRID, RETIRO;MADRID;24.2;13.8;NaN;940.2;936.4;0.0;8.3;26;2.2;19.2;13.5;5.3;1009.0;1002.9;15.0;11.1;26;5.0;
g_1_4UnlCogk;Getafe;1;2015-09-18;MADRID, RETIRO;MADRID;23.8;11.2;NaN;944.3;941.2;0.0;7.2;04;1.7;26.9;18.1;NaN;1013.2;1008.2;0.0;8.9;14;2.8;
g_1_jNjDAYHp;Real Sociedad;0;2015-09-19;DONOSTIA/SAN SEBASTIÁN, IGUELDO;GIPUZKOA;18.8;11.5;9.7;996.2;993.5;0.0;6.1;01;2.8;24.5;16.4;10.8;1023.2;1020.9;0.0;10.3;22;5.0;
g_1_fis3XePc;Eibar;1;2015-09-19;BILBAO AEROPUERTO;BIZKAIA;22.5;10.7;6.5;1022.7;1020.6;0.0;7.8;04;1.9;25.4;13.2;NaN;947.7;944.2;0.0;6.1;04;0.8;
g_1_rHwaYyAi;Valencia;0;2015-09-19;VALENCIA AEROPUERTO;VALENCIA;26.8;15.7;10.9;1017.0;1014.3;0.0;7.8;99;3.9;33.1;17.1;10.6;1016.8;1013.4;0.0;9.7;21;4.2;
g_1_G6VBVZgA;Real Madrid;0;2015-09-19;MADRID, RETIRO;MADRID;25.4;13.2;NaN;947.7;944.2;0.0;6.1;04;0.8;30.0;12.5;11.7;956.9;953.5;0.0;7.8;99;2.2;
g_1_xGW7WFv4;Barcelona;0;2015-09-20;BARCELONA AEROPUERTO;BARCELONA;24.0;18.4;10.1;1021.8;1018.4;0.0;10.8;99;4.4;30.3;14.9;11.7;1015.8;1010.0;0.0;8.9;99;3.9;
g_1_M5cqDRwq;Las Palmas;0;2015-09-20;GRAN CANARIA AEROPUERTO;LAS PALMAS;26.9;21.5;10.9;1013.3;1009.6;0.0;13.3;02;8.3;28.1;14.5;NaN;946.5;942.9;0.0;6.4;03;1.1;
g_1_AT8pFE9T;Villarreal;0;2015-09-20;CASTELLÓN - ALMASSORA;CASTELLON;27.9;16.8;11.6;1017.7;1013.2;0.0;6.9;12;2.5;25.0;10.5;11.4;1021.9;1016.2;0.0;9.7;06;1.1;
g_1_UDkH9hXj;Deportivo de La Coruna;0;2015-09-20;A CORUÑA;A CORUÑA;21.6;12.7;11.4;1016.3;1013.4;0.0;6.4;25;2.2;20.8;13.4;10.2;1023.9;1019.1;0.0;NaN;NaN;NaN;
g_1_ptzGUg9G;Sevilla;0;2015-09-20;SEVILLA AEROPUERTO;SEVILLA;32.9;17.6;11.2;1017.8;1014.0;0.0;8.3;99;0.8;27.8;13.1;10.5;992.7;990.4;NA;8.9;26;2.2;
g_1_CfjdAPN1;Granada;0;2015-09-22;GRANADA AEROPUERTO;GRANADA;31.3;13.5;11.7;952.4;948.6;0.0;12.5;28;4.2;17.4;12.5;2.8;987.1;985.9;28.8;18.1;30;7.5;
g_1_QJusGFBK;Atl. Madrid;0;2015-09-22;MADRID, RETIRO;MADRID;28.4;13.7;NaN;939.3;936.1;0.0;10.0;31;1.7;28.4;13.7;NaN;939.3;936.1;0.0;10.0;31;1.7;
g_1_vNqoFZQQ;Espanyol;0;2015-09-22;BARCELONA AEROPUERTO;BARCELONA;25.3;17.2;9.3;1013.5;1010.0;0.0;13.9;05;5.3;28.7;15.2;11.5;1006.7;1002.3;NA;10.3;13;3.3;
g_1_jok09qw8;Las Palmas;0;2015-09-23;GRAN CANARIA AEROPUERTO;LAS PALMAS;29.4;22.9;10.8;1011.9;1008.9;0.0;7.8;16;2.8;31.7;14.3;11.6;1012.6;1009.4;0.0;9.7;22;3.6;
g_1_h6sZHys8;Malaga;0;2015-09-23;MÁLAGA, CENTRO METEOROLÓGICO;MALAGA;35.6;20.9;NaN;1010.6;1005.2;0.0;10.8;09;3.3;29.0;18.6;9.2;1012.6;1006.8;0.0;8.9;19;2.5;
g_1_IXjhB58e;Athletic Club;1;2015-09-23;BILBAO AEROPUERTO;BIZKAIA;17.6;14.3;0.0;1017.7;1012.5;3.2;9.7;29;0.6;24.1;15.0;NaN;941.8;937.6;0.0;10.3;04;3.1;
g_1_OfLH9Dll;Celta de Vigo;0;2015-09-23;VIGO AEROPUERTO;PONTEVEDRA;24.0;11.6;9.3;990.5;988.4;0.0;7.2;99;2.8;22.2;18.4;6.7;1016.6;1010.4;1.0;11.7;20;4.7;
g_1_p4MDAgZs;Levante;0;2015-09-23;VALENCIA AEROPUERTO;VALENCIA;29.7;16.7;8.5;1010.4;1004.9;0.0;8.9;99;3.1;17.6;14.3;0.0;1017.7;1012.5;3.2;9.7;29;0.6;
g_1_hUPL8X3f;Rayo Vallecano;0;2015-09-23;MADRID, RETIRO;MADRID;24.1;15.0;NaN;941.8;937.6;0.0;10.3;04;3.1;20.2;16.0;3.1;1020.5;1017.9;0.0;NaN;NaN;NaN;
g_1_WdtwHedE;Real Betis;0;2015-09-24;SEVILLA AEROPUERTO;SEVILLA;29.9;16.2;10.9;1015.3;1012.0;0.0;8.3;99;3.1;20.9;12.4;10.9;1013.9;1011.5;0.0;6.1;33;2.2;
g_1_4OJJTYuK;Valencia;0;2015-09-25;VALENCIA AEROPUERTO;VALENCIA;28.1;13.4;11.3;1011.3;1008.3;0.0;8.3;13;2.8;30.2;10.5;9.0;954.2;950.2;0.0;9.2;27;1.7;
g_1_MaEOSheQ;Eibar;1;2015-09-26;BILBAO AEROPUERTO;BIZKAIA;23.6;13.3;4.5;1017.2;1014.4;0.4;7.8;99;2.2;26.0;13.6;9.5;988.9;987.3;NA;7.2;26;0.6;
g_1_IVafNWIm;Sevilla;0;2015-09-26;SEVILLA AEROPUERTO;SEVILLA;32.0;16.6;10.7;1013.7;1010.5;0.0;7.2;22;1.7;28.0;16.6;NaN;942.0;940.0;0.0;11.1;28;0.8;
g_1_EqEU6BY6;Villarreal;0;2015-09-26;CASTELLÓN - ALMASSORA;CASTELLON;26.4;16.9;7.8;1013.1;1011.3;0.0;7.2;12;2.8;28.0;16.6;NaN;942.0;940.0;0.0;11.1;28;0.8;
g_1_WY3bMjYg;Real Madrid;0;2015-09-26;MADRID, RETIRO;MADRID;28.0;16.6;NaN;942.0;940.0;0.0;11.1;28;0.8;25.3;16.3;NaN;1011.7;1009.9;0.0;6.1;13;2.5;
g_1_WKOP7iJ0;Barcelona;0;2015-09-26;BARCELONA AEROPUERTO;BARCELONA;24.1;17.6;5.8;1018.7;1016.5;0.0;8.9;35;3.1;27.0;23.1;2.5;1012.5;1010.1;0.0;11.4;99;6.7;
g_1_O80jOC3s;Real Sociedad;0;2015-09-27;DONOSTIA/SAN SEBASTIÁN, IGUELDO;GIPUZKOA;18.2;13.0;7.4;993.7;990.2;0.0;6.4;33;2.8;22.1;10.9;7.6;1020.3;1016.9;0.0;7.2;99;1.9;
g_1_Ecg3LAm0;Getafe;1;2015-09-27;MADRID, RETIRO;MADRID;26.5;16.0;NaN;943.7;940.7;0.0;8.3;04;0.3;23.0;15.9;0.6;1014.6;1010.6;7.2;13.9;05;1.9;
g_1_QXKFUEQD;Deportivo de La Coruna;0;2015-09-27;A CORUÑA;A CORUÑA;23.8;14.7;11.2;1013.8;1011.7;0.0;7.8;06;2.2;23.0;17.7;0.8;1022.0;1018.0;NA;7.8;36;2.8;
g_1_CUWX5VmD;Sporting de Gijon;0;2015-09-27;GIJÓN, PUERTO;ASTURIAS;21.4;16.8;8.9;1022.5;1019.5;0.0;NaN;NaN;NaN;34.3;16.3;11.4;1014.2;1010.8;0.0;6.7;33;1.7;
g_1_tYCpYmX5;Celta de Vigo;0;2015-10-02;VIGO AEROPUERTO;PONTEVEDRA;21.5;9.6;9.0;992.1;986.3;0.0;9.7;24;2.2;25.5;14.0;NaN;943.2;936.5;0.0;9.7;25;1.9;
g_1_hlh7KU26;Malaga;0;2015-10-03;MÁLAGA, CENTRO METEOROLÓGICO;MALAGA;26.0;19.8;NaN;1012.2;1009.3;0.0;6.1;99;1.7;16.5;9.0;9.7;986.7;985.3;0.0;6.1;30;2.5;
g_1_ChLTyWXt;Las Palmas;0;2015-10-03;GRAN CANARIA AEROPUERTO;LAS PALMAS;28.4;23.6;9.0;1013.2;1010.3;0.0;6.1;17;1.9;20.1;7.3;9.0;1012.9;1011.4;NA;6.7;36;1.1;
g_1_nBDtZTHa;Espanyol;0;2015-10-03;BARCELONA AEROPUERTO;BARCELONA;23.8;16.2;0.5;1018.0;1013.8;NA;14.4;27;3.9;18.5;10.5;7.0;1016.5;1013.2;1.7;NaN;NaN;NaN;
g_1_0EiBJlIC;Granada;0;2015-10-03;GRANADA AEROPUERTO;GRANADA;27.3;15.3;2.0;954.3;950.6;0.0;9.2;27;2.8;17.1;9.2;4.6;1009.6;1004.6;4.8;5.3;16;0.8;
g_1_8KExzA2g;Sevilla;0;2015-10-03;SEVILLA AEROPUERTO;SEVILLA;27.4;20.1;6.0;1015.0;1011.0;0.0;10.8;22;4.4;23.8;16.2;0.5;1018.0;1013.8;NA;14.4;27;3.9;
g_1_tAUcshAJ;Atl. Madrid;0;2015-10-04;MADRID, RETIRO;MADRID;22.0;15.5;NaN;942.8;940.2;4.2;9.2;22;2.2;22.0;15.5;NaN;942.8;940.2;4.2;9.2;22;2.2;
g_1_fDY1tCPP;Levante;0;2015-10-04;VALENCIA AEROPUERTO;VALENCIA;27.4;15.3;6.6;1012.6;1009.9;0.0;10.3;10;1.9;24.5;16.3;5.9;1014.5;1012.0;0.0;5.0;10;1.7;
g_1_v5jFI8XI;Athletic Club;1;2015-10-04;BILBAO AEROPUERTO;BIZKAIA;27.4;10.1;0.1;1012.0;1003.3;0.9;18.9;21;3.9;27.4;15.3;6.6;1012.6;1009.9;0.0;10.3;10;1.9;
