ID;aemet_equipo_loc;aemet_lej;aemet_fecha;aemet_lugar;aemet_provincia;aemet_aemet_tmax;aemet_tmin;aemet_sol;aemet_presMax;aemet_presMin;aemet_prec;aemet_racha;aemet_dir;aemet_velmedia;aemet_aemet_tmax_vis;aemet_tmin_vis;aemet_sol_vis;aemet_presMax_vis;aemet_presMin_vis;aemet_prec_vis;aemet_racha_vis;aemet_dir_vis;aemet_velmedia_vis;
g_1_GYL3uryn;Valencia;0;2017-08-18;VALENCIA AEROPUERTO;VALENCIA;32.5;21.9;12.0;1011.3;1005.9;0.0;9.7;04;3.9;32.5;24.4;NaN;1011.6;1008.9;0.0;16.9;01;9.4;
g_1_hKlsOt6B;Leganes;1;2017-08-18;MADRID, RETIRO;MADRID;36.6;23.6;NaN;942.4;938.1;0.0;8.1;05;1.9;24.9;15.3;2.7;964.4;960.2;0.0;10.8;04;4.2;
g_1_WAmoN0LH;Sevilla;0;2017-08-19;SEVILLA AEROPUERTO;SEVILLA;40.4;22.4;12.1;1011.4;1008.4;0.0;10.3;21;3.3;28.8;24.9;4.8;1019.9;1016.1;0.0;9.2;20;3.9;
g_1_2VeUQrMh;Girona;1;2017-08-19;GIRONA AEROPUERTO;GIRONA;30.1;20.0;5.4;1004.8;1001.2;0.0;8.3;20;2.5;35.3;21.6;NaN;942.5;940.0;0.0;10.6;99;1.1;
g_1_SxsfLvjU;Celta de Vigo;0;2017-08-19;VIGO AEROPUERTO;PONTEVEDRA;31.8;14.1;NaN;991.3;989.3;0.0;11.7;35;3.6;20.4;16.5;11.3;995.2;992.0;0.0;7.5;05;3.1;
g_1_OvcQRO6n;Deportivo de La Coruna;0;2017-08-20;A CORUÑA;A CORUÑA;24.4;16.6;13.1;1016.0;1009.7;0.0;7.5;35;2.2;35.7;22.0;NaN;944.7;940.8;0.0;8.3;04;0.8;
g_1_lnrjMKzO;Barcelona;0;2017-08-20;BARCELONA AEROPUERTO;BARCELONA;28.2;23.7;3.6;1021.4;1018.9;0.5;8.3;21;3.6;39.7;22.8;12.3;1012.6;1008.9;0.0;8.3;22;1.9;
g_1_bckwPMj5;Athletic Club;1;2017-08-20;BILBAO AEROPUERTO;BIZKAIA;26.1;12.7;12.2;1022.0;1018.4;0.0;8.9;04;2.8;35.7;22.0;NaN;944.7;940.8;0.0;8.3;04;0.8;
g_1_pfoZP2ya;Malaga;0;2017-08-21;MÁLAGA, CENTRO METEOROLÓGICO;MALAGA;30.9;24.3;NaN;1012.9;1010.3;0.0;7.2;18;2.5;34.3;13.0;12.6;1018.4;1007.6;0.0;8.6;28;2.5;
g_1_4bIatOLu;Levante;0;2017-08-21;VALENCIA AEROPUERTO;VALENCIA;30.5;21.8;11.2;1013.6;1010.3;0.0;9.7;11;3.6;31.6;23.2;12.5;1015.4;1012.7;0.0;8.1;14;2.8;
g_1_vBk3Hyl3;Real Betis;0;2017-08-25;SEVILLA AEROPUERTO;SEVILLA;37.0;21.7;10.0;1012.0;1008.5;0.0;8.3;99;2.2;25.5;14.3;NaN;987.6;984.9;0.0;9.7;99;3.1;
g_1_Q7oaIHYd;Real Sociedad;0;2017-08-25;DONOSTIA/SAN SEBASTIÁN, IGUELDO;GIPUZKOA;21.4;17.4;0.7;987.5;985.7;1.0;5.3;04;1.9;31.6;21.1;10.6;1012.8;1010.4;0.0;7.2;99;2.2;
g_1_bXNjeoX0;Las Palmas;0;2017-08-26;GRAN CANARIA AEROPUERTO;LAS PALMAS;28.8;22.6;NaN;1009.3;1007.0;0.0;16.4;02;8.6;30.8;21.1;NaN;940.7;939.0;0.8;6.7;10;0.8;
g_1_0n5mdRHf;Girona;1;2017-08-26;GIRONA AEROPUERTO;GIRONA;32.5;19.2;10.0;1002.0;999.9;NA;9.7;20;3.3;31.4;23.6;NaN;1010.0;1006.8;0.0;8.3;17;2.5;
g_1_O27GgYed;Levante;0;2017-08-26;VALENCIA AEROPUERTO;VALENCIA;31.1;22.2;9.1;1011.2;1007.4;0.0;10.8;99;2.8;23.5;17.8;6.9;1007.0;1003.9;0.1;7.5;35;3.1;
g_1_YXl7Ge39;Alaves;0;2017-08-26;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;34.4;18.0;9.2;957.6;955.1;0.0;11.7;25;2.8;29.9;23.6;4.0;1016.8;1014.5;0.0;7.8;99;3.6;
g_1_pC8CfEtj;Real Madrid;0;2017-08-27;MADRID, RETIRO;MADRID;28.0;20.8;NaN;941.5;938.2;0.3;11.1;25;1.9;30.0;22.4;2.7;1010.3;1007.4;0.0;7.8;08;1.4;
g_1_SY6ubmmr;Getafe;1;2017-08-27;MADRID, RETIRO;MADRID;28.0;20.8;NaN;941.5;938.2;0.3;11.1;25;1.9;32.6;23.0;6.8;1010.6;1007.4;0.3;9.7;21;3.3;
g_1_6P5qc72l;Eibar;1;2017-08-27;BILBAO AEROPUERTO;BIZKAIA;28.5;18.5;0.4;1013.4;1007.9;2.9;10.8;11;4.2;28.5;18.5;0.4;1013.4;1007.9;2.9;10.8;11;4.2;
g_1_COmBFFIF;Espanyol;0;2017-08-27;BARCELONA AEROPUERTO;BARCELONA;29.3;24.0;0.6;1016.5;1013.3;0.0;8.9;99;4.2;28.0;20.8;NaN;941.5;938.2;0.3;11.1;25;1.9;
g_1_6woIB6Hs;Leganes;1;2017-09-08;MADRID, RETIRO;MADRID;30.6;17.0;NaN;940.8;934.4;0.0;8.1;26;1.1;30.6;17.0;NaN;940.8;934.4;0.0;8.1;26;1.1;
g_1_UHgjGn9Q;Barcelona;0;2017-09-09;BARCELONA AEROPUERTO;BARCELONA;27.0;16.9;1.0;1008.8;1002.9;3.1;15.0;99;4.7;27.0;16.9;1.0;1008.8;1002.9;3.1;15.0;99;4.7;
g_1_00pMAQWm;Sevilla;0;2017-09-09;SEVILLA AEROPUERTO;SEVILLA;31.8;15.0;8.2;1009.7;1005.2;0.0;13.3;28;5.0;20.5;13.8;2.6;1009.1;1004.9;27.8;18.1;32;4.4;
g_1_bgaR7OG6;Valencia;0;2017-09-09;VALENCIA AEROPUERTO;VALENCIA;26.4;15.0;0.6;1001.4;996.5;6.4;12.5;26;3.9;23.5;16.1;NaN;934.6;932.3;0.0;13.1;34;3.3;
g_1_tdDef5n7;Real Madrid;0;2017-09-09;MADRID, RETIRO;MADRID;23.5;16.1;NaN;934.6;932.3;0.0;13.1;34;3.3;26.4;15.0;0.6;1001.4;996.5;6.4;12.5;26;3.9;
